image,run,encSec,decSec
Baboon.BMP,0,0.334678441,0.282846137
Baboon.BMP,1,0.290452837,0.309169773
Baboon.BMP,2,0.294499991,0.287882607
Baboon.BMP,3,0.289510086,0.293481779
Baboon.BMP,4,0.290089686,0.296490222
Baboon.BMP,5,0.290134874,0.295630643
Baboon.BMP,6,0.294395938,0.302795062
Baboon.BMP,7,0.291604307,0.286019876
Baboon.BMP,8,0.291964492,0.296493739
Baboon.BMP,9,0.287726089,0.306159694
Baboon.BMP,10,0.294605565,0.305762984
Baboon.BMP,11,0.296958427,0.311138941
Baboon.BMP,12,0.298306994,0.299269464
Baboon.BMP,13,0.291689546,0.290852364
Baboon.BMP,14,0.291637753,0.297591608
Baboon.BMP,15,0.296236314,0.302212259
Baboon.BMP,16,0.296040079,0.33563209
Baboon.BMP,17,0.34307739,0.303116575
Baboon.BMP,18,0.290958888,0.30951647
Baboon.BMP,19,0.295469181,0.294331837
Boats_512x512.bmp,0,0.292065895,0.288139533
Boats_512x512.bmp,1,0.288822353,0.287319552
Boats_512x512.bmp,2,0.283348426,0.2885194
Boats_512x512.bmp,3,0.284835886,0.284316783
Boats_512x512.bmp,4,0.284799698,0.286563788
Boats_512x512.bmp,5,0.285814739,0.290766204
Boats_512x512.bmp,6,0.286755133,0.29384224
Boats_512x512.bmp,7,0.302477289,0.311214559
Boats_512x512.bmp,8,0.297411436,0.300054603
Boats_512x512.bmp,9,0.292281358,0.2866843
Boats_512x512.bmp,10,0.296048531,0.288897844
Boats_512x512.bmp,11,0.281508419,0.297700445
Boats_512x512.bmp,12,0.295882645,0.301088085
Boats_512x512.bmp,13,0.294061408,0.305823851
Boats_512x512.bmp,14,0.292447247,0.324973491
Boats_512x512.bmp,15,0.294533225,0.302127781
Boats_512x512.bmp,16,0.291331361,0.292691816
Boats_512x512.bmp,17,0.291331645,0.296221709
Boats_512x512.bmp,18,0.28996842,0.291645365
Boats_512x512.bmp,19,0.289783112,0.291397129
airplane.bmp,0,0.281060499,0.285984171
airplane.bmp,1,0.288712954,0.294077619
airplane.bmp,2,0.290253386,0.314688227
airplane.bmp,3,0.296486067,0.307414132
airplane.bmp,4,0.296756474,0.298239158
airplane.bmp,5,0.290712153,0.302327742
airplane.bmp,6,0.30311001,0.299795328
airplane.bmp,7,0.317682517,0.294031546
airplane.bmp,8,0.290284338,0.296599848
airplane.bmp,9,0.288303492,0.297946172
airplane.bmp,10,0.289420825,0.293907727
airplane.bmp,11,0.289513223,0.29514851
airplane.bmp,12,0.287570043,0.347093848
