image,keyIdx,npcr,uaci
Baboon,1,99.60034688313802,33.452802670547385
Baboon,2,99.60263570149739,33.46192054499208
Baboon,3,99.60861206054688,33.44368878532859
Baboon,4,99.60479736328125,33.46230101741218
Baboon,5,99.61204528808594,33.485344282162735
Baboon,6,99.61827596028645,33.43538421431398
Baboon,7,99.6063232421875,33.46149918300653
Baboon,8,99.59818522135417,33.45671261058135
Baboon,9,99.62310791015625,33.455331839767155
Baboon,10,99.60390726725261,33.462411718430864
Boats_512x512,1,99.59767659505208,33.461951461492795
Boats_512x512,2,99.62272644042969,33.44427570018893
Boats_512x512,3,99.60543314615886,33.433384614832256
Boats_512x512,4,99.62692260742188,33.45587936102175
Boats_512x512,5,99.60212707519531,33.44949510362414
Boats_512x512,6,99.5958964029948,33.45109528186274
Boats_512x512,7,99.61598714192708,33.46006754956214
Boats_512x512,8,99.60098266601562,33.47338707618464
Boats_512x512,9,99.61280822753906,33.42553631152982
Boats_512x512,10,99.60861206054688,33.48972245758655
airplane,1,99.61395263671875,33.477280062008525
airplane,2,99.61687723795573,33.42888925589767
airplane,3,99.61891174316406,33.42588137957006
airplane,4,99.60428873697917,33.44932655882991
airplane,5,99.60225423177083,33.496207442938115
airplane,6,99.58852132161458,33.4357223012089
airplane,7,99.60517883300781,33.45994887009166
airplane,8,99.6081034342448,33.47387126847809
airplane,9,99.60556030273438,33.45029893264272
airplane,10,99.60823059082031,33.46493689842473
barbara_512x512,1,99.61255391438802,33.4615201264425
barbara_512x512,2,99.60695902506511,33.43850229300705
barbara_512x512,3,99.61318969726562,33.45466414308237
barbara_512x512,4,99.6136983235677,33.4373209834878
barbara_512x512,5,99.60416158040364,33.44899146385442
barbara_512x512,6,99.61051940917969,33.44245960509855
barbara_512x512,7,99.59983825683594,33.447070651584205
barbara_512x512,8,99.60708618164062,33.47942676419526
barbara_512x512,9,99.60873921712239,33.461510652030995
barbara_512x512,10,99.62272644042969,33.449137070599726
house,1,99.61229960123698,33.46827089396957
house,2,99.61166381835938,33.431457818723196
house,3,99.61446126302083,33.44755484387766
house,4,99.61789449055989,33.46180086821512
house,5,99.60594177246094,33.44957738140829
house,6,99.61204528808594,33.4622960308798
house,7,99.6063232421875,33.47207113029131
house,8,99.61051940917969,33.433603523603445
house,9,99.60606892903645,33.456395965775634
house,10,99.60568745930989,33.47495334600311
lena,1,99.60428873697917,33.50031285504111
lena,2,99.61700439453125,33.47526600158293
lena,3,99.60263570149739,33.477540857651654
lena,4,99.60250854492188,33.476283752840324
lena,5,99.60695902506511,33.5238213632621
lena,6,99.61077372233073,33.47015680051317
lena,7,99.59551493326823,33.4855681774663
lena,8,99.5989481608073,33.46470352870966
lena,9,99.60161844889323,33.47622391445185
lena,10,99.59640502929688,33.43795876097835
monarch_512x512,1,99.61446126302083,33.463986465354374
monarch_512x512,2,99.61344401041667,33.469755883310356
monarch_512x512,3,99.60314432779948,33.50874258801827
monarch_512x512,4,99.61051940917969,33.46822900709763
monarch_512x512,5,99.60606892903645,33.41148575926138
monarch_512x512,6,99.60912068684895,33.437226738025934
monarch_512x512,7,99.59793090820312,33.449352488798255
monarch_512x512,8,99.60619608561198,33.4473484014374
monarch_512x512,9,99.60912068684895,33.49462870678871
monarch_512x512,10,99.60161844889323,33.46410664078457
pepper,1,99.6136983235677,33.447886448280485
pepper,2,99.61268107096355,33.425554263046365
pepper,3,99.61102803548177,33.47248351651859
pepper,4,99.59678649902344,33.46402137108098
pepper,5,99.60823059082031,33.44592075721891
pepper,6,99.60861206054688,33.46667919283599
pepper,7,99.59602355957031,33.44099755380668
pepper,8,99.60428873697917,33.43941283381842
pepper,9,99.61318969726562,33.47231098249847
pepper,10,99.60416158040364,33.42666077458001
sailboat,1,99.61268107096355,33.441205990859885
sailboat,2,99.60962931315105,33.48039115955627
sailboat,3,99.59348042805989,33.50294424817453
sailboat,4,99.61179097493489,33.449516047060094
sailboat,5,99.60378011067708,33.44578412623188
sailboat,6,99.60403442382812,33.47486757764629
sailboat,7,99.60695902506511,33.48935345419092
sailboat,8,99.60428873697917,33.459535486557904
sailboat,9,99.60403442382812,33.50008746377783
sailboat,10,99.63417053222656,33.446537092620254
tiffany,1,99.60250854492188,33.49618699815538
tiffany,2,99.62132771809895,33.43166276520373
tiffany,3,99.62603251139323,33.478109820995456
tiffany,4,99.60225423177083,33.49708158206317
tiffany,5,99.61535135904948,33.47286049836601
tiffany,6,99.59360758463542,33.472717883540135
tiffany,7,99.61229960123698,33.51554322086908
tiffany,8,99.60695902506511,33.48820555443857
tiffany,9,99.61496988932292,33.4808883168339
tiffany,10,99.60390726725261,33.447491514916514
