image,keyIdx,px,py,npcr,uaci
Baboon,1,213,302,99.60225423177083,33.48987903470307
Baboon,2,213,440,99.60390726725261,33.436277800915285
Baboon,3,212,104,99.62565104166667,33.436034458135474
Baboon,4,212,242,99.61179097493489,33.48511839224622
Baboon,5,212,341,99.60479736328125,33.45799664266749
Baboon,6,212,479,99.60428873697917,33.472872466043704
Baboon,7,212,143,99.59945678710938,33.438109852909264
Baboon,8,212,281,99.61318969726562,33.4508354835261
Baboon,9,212,380,99.61229960123698,33.46406176199321
Baboon,10,212,6,99.62158203125,33.49891363405714
Boats_512x512,1,457,455,99.58839416503906,33.416359097349876
Boats_512x512,2,457,42,99.60734049479167,33.4694706536586
Boats_512x512,3,457,180,99.5984395345052,33.48279067893433
Boats_512x512,4,457,357,99.61179097493489,33.45139397515191
Boats_512x512,5,457,494,99.60530598958333,33.44858755473218
Boats_512x512,6,457,81,99.60657755533855,33.50231943566815
Boats_512x512,7,457,219,99.60568745930989,33.47590876560586
Boats_512x512,8,456,196,99.6172587076823,33.519860061944705
Boats_512x512,9,455,333,99.59932963053386,33.460448021982224
Boats_512x512,10,456,432,99.60441589355469,33.4769738889208
airplane,1,384,50,99.6106465657552,33.48745508131638
airplane,2,383,227,99.61255391438802,33.42066247478809
airplane,3,383,364,99.60784912109375,33.46912857753779
airplane,4,383,463,99.60378011067708,33.44106786391314
airplane,5,383,89,99.61738586425781,33.46923329471763
airplane,6,383,266,99.59856669108073,33.44076368543837
airplane,7,383,403,99.6002197265625,33.4898246815002
airplane,8,383,502,99.62043762207031,33.403972550934434
airplane,9,383,128,99.627685546875,33.485652948516645
airplane,10,393,170,99.60072835286458,33.467191309710735
barbara_512x512,1,412,467,99.6111551920573,33.45767201940998
barbara_512x512,2,412,132,99.60568745930989,33.48473293329376
barbara_512x512,3,412,269,99.60034688313802,33.475932700961245
barbara_512x512,4,412,368,99.61153666178386,33.4580529904833
barbara_512x512,5,412,506,99.60746765136719,33.455028658598856
barbara_512x512,6,412,171,99.61217244466145,33.46032734789879
barbara_512x512,7,412,308,99.60098266601562,33.45635108698428
barbara_512x512,8,412,407,99.61255391438802,33.442694969426576
barbara_512x512,9,412,33,99.61204528808594,33.47398496141621
barbara_512x512,10,412,210,99.61306254069011,33.51525749256408
house,1,75,497,99.60543314615886,33.42081157210606
house,2,75,84,99.61535135904948,33.44317367653442
house,3,75,222,99.61344401041667,33.45913107878243
house,4,75,399,99.62043762207031,33.455902797723915
house,5,75,24,99.61535135904948,33.463378607058054
house,6,75,123,99.61878458658855,33.470547245998006
house,7,75,261,99.58737691243489,33.47299712935304
house,8,75,438,99.60416158040364,33.4680883868847
house,9,75,63,99.60657755533855,33.53180230832567
house,10,75,162,99.61598714192708,33.454671622880916
lena,1,97,69,99.60772196451823,33.476685168696385
lena,2,98,167,99.609375,33.453456404941534
lena,3,98,305,99.61407979329427,33.519349939682904
lena,4,97,482,99.61128234863281,33.46811331954657
lena,5,97,108,99.61738586425781,33.46171859043097
lena,6,97,206,99.61407979329427,33.44407474293428
lena,7,97,344,99.60530598958333,33.43870474622141
lena,8,97,9,99.6124267578125,33.38549495522492
lena,9,97,147,99.61814880371094,33.46418193742341
lena,10,97,245,99.61026509602864,33.466524610332414
monarch_512x512,1,234,78,99.5989481608073,33.440748725841246
monarch_512x512,2,234,216,99.61611429850261,33.5209526111877
monarch_512x512,3,234,393,99.60924784342448,33.49489399031097
monarch_512x512,4,234,19,99.60428873697917,33.49901486066432
monarch_512x512,5,234,117,99.61840311686198,33.46611421871808
monarch_512x512,6,234,255,99.60657755533855,33.41884837431066
monarch_512x512,7,234,432,99.60912068684895,33.446450326956956
monarch_512x512,8,234,58,99.60403442382812,33.461344101849726
monarch_512x512,9,234,156,99.60912068684895,33.45780914905024
monarch_512x512,10,234,294,99.60301717122395,33.482228198082616
pepper,1,58,462,99.60670471191406,33.43694699355979
pepper,2,58,126,99.61776733398438,33.4420048333461
pepper,3,57,264,99.60912068684895,33.4965250850503
pepper,4,58,363,99.61446126302083,33.46842996435228
pepper,5,58,501,99.61128234863281,33.48487205754697
pepper,6,57,165,99.603271484375,33.46162883284824
pepper,7,57,303,99.61471557617188,33.44898797328176
pepper,8,57,402,99.60734049479167,33.486405416251785
pepper,9,57,28,99.60734049479167,33.48565693774254
pepper,10,59,405,99.60301717122395,33.40467515334584
sailboat,1,246,427,99.60606892903645,33.417529935151144
sailboat,2,246,53,99.60912068684895,33.520686829012206
sailboat,3,246,152,99.6063232421875,33.443599027745854
sailboat,4,246,290,99.60428873697917,33.480662426917384
sailboat,5,246,466,99.60683186848958,33.47316866606669
sailboat,6,246,92,99.59500630696614,33.484451194214664
sailboat,7,246,191,99.61026509602864,33.482721864787585
sailboat,8,246,329,99.61738586425781,33.501092250051066
sailboat,9,246,505,99.60085550944011,33.4895294787837
sailboat,10,245,131,99.61471557617188,33.46327339122498
tiffany,1,261,291,99.59831237792969,33.46975089677798
tiffany,2,261,429,99.60301717122395,33.48883136425143
tiffany,3,260,93,99.61649576822917,33.50731743706597
tiffany,4,260,231,99.60403442382812,33.41321708330142
tiffany,5,260,330,99.61026509602864,33.47636952119715
tiffany,6,260,468,99.60289001464844,33.51522308549071
tiffany,7,260,132,99.59780375162761,33.458666333965226
tiffany,8,260,270,99.60912068684895,33.477881437812755
tiffany,9,260,369,99.61751302083333,33.47412408566942
tiffany,10,260,507,99.61153666178386,33.42688217661739
