image,keyIdx,entropy,rH,rV,rD,r_avg
Baboon,1,7.999305569076506,-0.003196588859926673,0.0025625280762726446,0.00441176562830832,0.0033902941881692127
Baboon,2,7.999282674423988,-0.001362506584393437,-0.006805049904439424,0.0015631209731778214,0.0032435591540035604
Baboon,3,7.999280092839787,-0.002527678758283498,-0.006477279978680135,-0.0023138487647701243,0.0037729358339112524
Baboon,4,7.9993015977144575,-0.006823169664993725,-0.0037651508047362365,0.00562905891772517,0.00540579312915171
Baboon,5,7.999357591614739,-0.01004155509418109,0.00099769635786069,0.00412253392809819,0.005053928460046657
Baboon,6,7.999335325903826,-0.007973511947100066,0.00046100155043476396,0.00894488284872989,0.005793132115421574
Baboon,7,7.99928990812894,-0.002793685972113979,0.010906365483309899,0.002583549583513424,0.0054278670129791
Baboon,8,7.999202125090534,0.0023838706759463516,0.006679100332015075,0.0016231816944773405,0.003562050900812922
Baboon,9,7.999247185786532,-0.002496587438440714,-0.0005478944718559237,0.0005042869106802175,0.0011829229403256185
Baboon,10,7.999266345394438,0.0003988944196433762,-0.005485165589812037,-0.007919746866442734,0.004601268958632716
Boats_512x512,1,7.999339661998491,-0.007560627007522713,-0.0024683348191507025,-0.0013166266195284394,0.0037818628154006177
Boats_512x512,2,7.99926600817145,0.011568602700217616,-0.0011790695989090892,-0.0019471863776414696,0.004898286225589392
Boats_512x512,3,7.999254016359823,0.0027015431484750836,0.009031384093921556,0.004985920638094634,0.005572949293497091
Boats_512x512,4,7.999280871321098,-0.009380828265740488,-0.005545854251740453,-0.006077831123500667,0.007001504546993869
Boats_512x512,5,7.999297400861277,0.004346288857000236,0.01558029563313716,-0.004956270728438067,0.008294285072858489
Boats_512x512,6,7.999305925496926,-0.01134824590278228,0.003834879213043462,0.009915209598180505,0.008366111571335415
Boats_512x512,7,7.999332063847173,0.00034343527664545346,-0.005212964943870739,-0.00833748812524745,0.004631296115254548
Boats_512x512,8,7.999311971668046,-0.006476559587398063,0.004270766925529954,0.003921715723792966,0.004889680745573661
Boats_512x512,9,7.99929782570858,-0.0037363308421880827,-0.006543359056105748,-0.0013512390555000659,0.0038769763179312983
Boats_512x512,10,7.99919329792392,0.0030078961835125124,0.004153946512552534,-0.006002471007358542,0.004388104567807863
airplane,1,7.99936537859541,-0.005626662184192058,-0.0011485083666821906,-0.01565164653561708,0.00747560569549711
airplane,2,7.999297466258505,0.0035101348026602593,-0.0019115633203495117,-0.010097833001147074,0.005173177041385615
airplane,3,7.999307118241059,-0.005387730399320833,-0.00022256318746023454,0.010312525187553307,0.005307606258111458
airplane,4,7.999301652031401,-0.004250690489447676,-0.004355911479380723,0.005843086705778833,0.004816562891535744
airplane,5,7.999363118399704,-0.007523320833567156,-0.0024493811297996598,0.004190543811898379,0.004721081925088398
airplane,6,7.99931853107352,-0.0007400415755344,0.003237572882266351,0.0054764278965503095,0.0031513474514503538
airplane,7,7.9992852447584495,0.0005125144323317794,-0.0009873788356509997,-0.003927611977230044,0.001809168415070941
airplane,8,7.999278056232776,0.0048516548950604,-0.005500355500483649,-0.001483637236461606,0.0039452158773352185
airplane,9,7.999274176638521,-0.00612881098427307,0.002588859676025556,0.013137534586633146,0.007285068415643924
airplane,10,7.999301561814229,-0.0022633721811286187,0.006544816098097067,0.0018545387125645121,0.0035542423305967327
barbara_512x512,1,7.999294091148031,-0.014775321942217765,-0.00017790010011208248,0.006439312888933703,0.00713084497708785
barbara_512x512,2,7.9992585251462485,0.0008913394919187664,-0.004205895125045943,-0.003162145031622826,0.0027531265495291785
barbara_512x512,3,7.999300002110718,0.0018501069219543451,-0.008791615740822809,-0.008469147600650982,0.0063702900878093785
barbara_512x512,4,7.999263608909643,0.003521834285748928,0.0029398715735806866,-0.0020445860768506506,0.0028354306453934213
barbara_512x512,5,7.999294896815005,-0.006132146106542116,-0.007745079607085311,0.0027459812347364336,0.005541068982787954
barbara_512x512,6,7.999280589897899,-0.004046245322003236,0.0037510344287390884,0.002620636842460004,0.0034726388644007763
