image,keyIdx,npcr,uaci
Baboon,1,99.60645039876302,33.425854950948484
Baboon,2,99.6167500813802,33.45207812739354
Baboon,3,99.60187276204427,33.43113319546569
Baboon,4,99.60390726725261,33.488650353126275
Baboon,5,99.6111551920573,33.45752840727763
Baboon,6,99.59767659505208,33.39981677485448
Baboon,7,99.59487915039062,33.44592374913833
Baboon,8,99.60238138834636,33.401055928149255
Baboon,9,99.5958964029948,33.419759413775274
Baboon,10,99.61268107096355,33.50033629174326
Boats_512x512,1,99.6081034342448,33.45370473425373
Boats_512x512,2,99.59449768066406,33.49114112604676
Boats_512x512,3,99.6203104654948,33.439011916615605
Boats_512x512,4,99.61102803548177,33.49168515672871
Boats_512x512,5,99.60060119628906,33.46156600254034
Boats_512x512,6,99.61560567220052,33.4333143047258
Boats_512x512,7,99.59856669108073,33.42194401360805
Boats_512x512,8,99.61039225260417,33.55396195953967
Boats_512x512,9,99.60721333821614,33.46144881902956
Boats_512x512,10,99.61051940917969,33.464318069757205
airplane,1,99.61140950520833,33.4946287067887
airplane,2,99.60072835286458,33.49494634890089
airplane,3,99.60988362630208,33.46769245621426
airplane,4,99.59742228190105,33.43807045930351
airplane,5,99.62132771809895,33.50705763872932
airplane,6,99.61471557617188,33.449927435980904
airplane,7,99.6198018391927,33.45540115256715
airplane,8,99.61331685384114,33.4125503839231
airplane,9,99.61700439453125,33.464105144824856
airplane,10,99.60784912109375,33.435460009606054
barbara_512x512,1,99.60606892903645,33.489448198306015
barbara_512x512,2,99.60530598958333,33.499328014897365
barbara_512x512,3,99.59475199381511,33.473442426693985
barbara_512x512,4,99.60708618164062,33.46472297618592
barbara_512x512,5,99.60670471191406,33.444189931832106
barbara_512x512,6,99.59704081217448,33.448686786726405
barbara_512x512,7,99.59754943847656,33.48356309279897
barbara_512x512,8,99.609375,33.485408608430355
barbara_512x512,9,99.60683186848958,33.450614081488716
barbara_512x512,10,99.61051940917969,33.45559612598294
house,1,99.60441589355469,33.44109528984119
house,2,99.62107340494792,33.486012477500765
house,3,99.60085550944011,33.46904829436658
house,4,99.60492451985677,33.4178326176662
house,5,99.6081034342448,33.45283657896753
house,6,99.60098266601562,33.47490946451823
house,7,99.61051940917969,33.464164484560094
house,8,99.60657755533855,33.4498391743579
house,9,99.59704081217448,33.47488253724341
house,10,99.60848490397136,33.47957785612618
lena,1,99.59971110026042,33.49324045617596
lena,2,99.5984395345052,33.43263065113741
lena,3,99.62183634440105,33.48233640583512
lena,4,99.61535135904948,33.46199085509855
lena,5,99.59424336751302,33.44703474855112
lena,6,99.59627787272136,33.395626093047895
lena,7,99.61407979329427,33.450893825954864
lena,8,99.59767659505208,33.43153560862822
lena,9,99.62234497070312,33.48494635687934
lena,10,99.61039225260417,33.45217287150863
monarch_512x512,1,99.61395263671875,33.38209214553334
monarch_512x512,2,99.62247212727864,33.48878100027446
monarch_512x512,3,99.61166381835938,33.48817812851052
monarch_512x512,4,99.60606892903645,33.442330453910074
monarch_512x512,5,99.61636861165364,33.47804848664726
monarch_512x512,6,99.62310791015625,33.465407128427536
monarch_512x512,7,99.62310791015625,33.41250999301087
monarch_512x512,8,99.61306254069011,33.483504251716965
monarch_512x512,9,99.62145487467448,33.444439757104014
monarch_512x512,10,99.60441589355469,33.4522940442453
pepper,1,99.60301717122395,33.470858904271346
pepper,2,99.61357116699219,33.43657300363179
pepper,3,99.60619608561198,33.45764210021574
pepper,4,99.62374369303386,33.47574620465048
pepper,5,99.61700439453125,33.46502266678156
pepper,6,99.6014912923177,33.45806595546747
pepper,7,99.609375,33.48101298014323
pepper,8,99.60670471191406,33.42051636938956
pepper,9,99.60556030273438,33.48496231378294
pepper,10,99.61840311686198,33.481532576816534
sailboat,1,99.61001078287761,33.5132623809615
sailboat,2,99.62526957194011,33.435624066521136
sailboat,3,99.61802164713542,33.43972748401118
sailboat,4,99.61204528808594,33.501235862183414
sailboat,5,99.61662292480469,33.461554034862644
sailboat,6,99.61687723795573,33.44314176272723
sailboat,7,99.61496988932292,33.48492740805632
sailboat,8,99.6075948079427,33.468879250919116
sailboat,9,99.60161844889323,33.444406347337114
sailboat,10,99.60606892903645,33.494001401016135
tiffany,1,99.6167500813802,33.47379996106515
tiffany,2,99.60072835286458,33.48891364203559
tiffany,3,99.61204528808594,33.4755661908318
tiffany,4,99.61891174316406,33.46075020584406
tiffany,5,99.61942036946614,33.459109138039985
tiffany,6,99.60428873697917,33.482774223377504
tiffany,7,99.60034688313802,33.474683075948484
tiffany,8,99.61535135904948,33.501525579714304
tiffany,9,99.60161844889323,33.45825394773795
tiffany,10,99.61496988932292,33.45255783180785
