x,y,posMix,collisionProbabilityPct
49,0,80,0.6988525390625
99,0,42,0.7049560546875
149,0,44,0.6988525390625
199,0,118,0.7049560546875
249,0,200,0.6988525390625
299,0,18,0.7049560546875
349,0,148,0.6988525390625
399,0,110,0.7049560546875
449,0,64,0.6988525390625
499,0,90,0.7049560546875
37,1,239,0.8880615234375
87,1,207,0.8880615234375
137,1,103,0.8880615234375
187,1,119,0.8880615234375
237,1,223,0.8880615234375
287,1,63,0.8880615234375
337,1,199,0.8880615234375
387,1,23,0.8880615234375
437,1,175,0.8880615234375
487,1,207,0.8880615234375
25,2,16,0.6988525390625
75,2,242,0.7049560546875
125,2,132,0.6988525390625
175,2,14,0.7049560546875
225,2,232,0.6988525390625
275,2,202,0.7049560546875
325,2,124,0.6988525390625
375,2,102,0.7049560546875
425,2,32,0.6988525390625
475,2,162,0.7049560546875
13,3,55,0.8880615234375
63,3,131,0.8880615234375
113,3,151,0.8880615234375
163,3,43,0.8880615234375
213,3,103,0.8880615234375
263,3,115,0.8880615234375
313,3,135,0.8880615234375
363,3,235,0.8880615234375
413,3,119,0.8880615234375
463,3,99,0.8880615234375
1,4,24,0.6988525390625
51,4,170,0.7049560546875
101,4,204,0.6988525390625
151,4,174,0.7049560546875
201,4,128,0.6988525390625
251,4,18,0.7049560546875
301,4,36,0.6988525390625
351,4,166,0.7049560546875
401,4,104,0.6988525390625
451,4,122,0.7049560546875
501,4,252,0.6988525390625
39,5,127,0.8880615234375
89,5,31,0.8880615234375
139,5,39,0.8880615234375
189,5,119,0.8880615234375
239,5,207,0.8880615234375
289,5,111,0.8880615234375
339,5,135,0.8880615234375
389,5,119,0.8880615234375
439,5,31,0.8880615234375
489,5,63,0.8880615234375
27,6,194,0.7049560546875
77,6,228,0.6988525390625
127,6,150,0.7049560546875
177,6,64,0.6988525390625
227,6,138,0.7049560546875
277,6,76,0.6988525390625
327,6,158,0.7049560546875
377,6,168,0.6988525390625
427,6,210,0.7049560546875
477,6,148,0.6988525390625
15,7,91,0.8880615234375
65,7,79,0.8880615234375
115,7,51,0.8880615234375
165,7,191,0.8880615234375
215,7,187,0.8880615234375
265,7,47,0.8880615234375
315,7,227,0.8880615234375
365,7,255,0.8880615234375
415,7,91,0.8880615234375
465,7,47,0.8880615234375
3,8,154,0.7049560546875
53,8,12,0.6988525390625
103,8,54,0.7049560546875
153,8,168,0.6988525390625
203,8,146,0.7049560546875
253,8,4,0.6988525390625
303,8,126,0.7049560546875
353,8,112,0.6988525390625
403,8,234,0.7049560546875
453,8,156,0.6988525390625
503,8,70,0.7049560546875
41,9,7,0.8880615234375
91,9,39,0.8880615234375
141,9,79,0.8880615234375
191,9,63,0.8880615234375
241,9,103,0.8880615234375
291,9,231,0.8880615234375
341,9,223,0.8880615234375
391,9,47,0.8880615234375
441,9,71,0.8880615234375
491,9,39,0.8880615234375
29,10,52,0.6988525390625
79,10,94,0.7049560546875
129,10,8,0.6988525390625
179,10,58,0.7049560546875
229,10,252,0.6988525390625
279,10,6,0.7049560546875
329,10,144,0.6988525390625
379,10,98,0.7049560546875
429,10,36,0.6988525390625
479,10,46,0.7049560546875
17,11,215,0.8880615234375
67,11,235,0.8880615234375
117,11,135,0.8880615234375
167,11,67,0.8880615234375
217,11,135,0.8880615234375
267,11,75,0.8880615234375
317,11,151,0.8880615234375
367,11,147,0.8880615234375
417,11,215,0.8880615234375
467,11,75,0.8880615234375
5,12,76,0.6988525390625
55,12,94,0.7049560546875
105,12,16,0.6988525390625
155,12,146,0.7049560546875
205,12,84,0.6988525390625
255,12,102,0.7049560546875
305,12,232,0.6988525390625
355,12,170,0.7049560546875
405,12,156,0.6988525390625
455,12,238,0.7049560546875
505,12,192,0.6988525390625
43,13,87,0.8880615234375
93,13,247,0.8880615234375
143,13,207,0.8880615234375
193,13,95,0.8880615234375
243,13,87,0.8880615234375
293,13,151,0.8880615234375
343,13,31,0.8880615234375
393,13,79,0.8880615234375
443,13,119,0.8880615234375
493,13,215,0.8880615234375
31,14,182,0.7049560546875
81,14,240,0.6988525390625
131,14,218,0.7049560546875
181,14,172,0.6988525390625
231,14,238,0.7049560546875
281,14,104,0.6988525390625
331,14,82,0.7049560546875
381,14,196,0.6988525390625
431,14,166,0.7049560546875
481,14,128,0.6988525390625
19,15,131,0.8880615234375
69,15,207,0.8880615234375
119,15,155,0.8880615234375
169,15,159,0.8880615234375
219,15,83,0.8880615234375
269,15,207,0.8880615234375
319,15,59,0.8880615234375
369,15,31,0.8880615234375
419,15,227,0.8880615234375
469,15,111,0.8880615234375
7,16,150,0.7049560546875
57,16,40,0.6988525390625
107,16,178,0.7049560546875
157,16,20,0.6988525390625
207,16,238,0.7049560546875
257,16,32,0.6988525390625
307,16,250,0.7049560546875
357,16,188,0.6988525390625
407,16,198,0.7049560546875
457,16,88,0.6988525390625
507,16,34,0.7049560546875
45,17,63,0.8880615234375
95,17,63,0.8880615234375
145,17,135,0.8880615234375
195,17,87,0.8880615234375
245,17,111,0.8880615234375
295,17,239,0.8880615234375
345,17,167,0.8880615234375
395,17,215,0.8880615234375
445,17,159,0.8880615234375
495,17,223,0.8880615234375
33,18,72,0.6988525390625
83,18,202,0.7049560546875
133,18,252,0.6988525390625
183,18,102,0.7049560546875
233,18,128,0.6988525390625
283,18,226,0.7049560546875
333,18,244,0.6988525390625
383,18,158,0.7049560546875
433,18,56,0.6988525390625
483,18,154,0.7049560546875
21,19,231,0.8880615234375
71,19,179,0.8880615234375
121,19,7,0.8880615234375
171,19,11,0.8880615234375
221,19,151,0.8880615234375
271,19,131,0.8880615234375
321,19,55,0.8880615234375
371,19,43,0.8880615234375
421,19,199,0.8880615234375
471,19,51,0.8880615234375
9,20,224,0.6988525390625
59,20,178,0.7049560546875
109,20,4,0.6988525390625
159,20,38,0.7049560546875
209,20,200,0.6988525390625
259,20,90,0.7049560546875
309,20,188,0.6988525390625
359,20,94,0.7049560546875
409,20,112,0.6988525390625
459,20,194,0.7049560546875
509,20,244,0.6988525390625
47,21,175,0.8880615234375
97,21,47,0.8880615234375
147,21,231,0.8880615234375
197,21,23,0.8880615234375
247,21,223,0.8880615234375
297,21,95,0.8880615234375
347,21,7,0.8880615234375
397,21,183,0.8880615234375
447,21,239,0.8880615234375
497,21,239,0.8880615234375
35,22,138,0.7049560546875
85,22,108,0.6988525390625
135,22,126,0.7049560546875
185,22,136,0.6988525390625
235,22,50,0.7049560546875
285,22,148,0.6988525390625
335,22,198,0.7049560546875
385,22,176,0.6988525390625
435,22,250,0.7049560546875
485,22,60,0.6988525390625
23,23,123,0.8880615234375
73,23,239,0.8880615234375
123,23,195,0.8880615234375
173,23,95,0.8880615234375
223,23,155,0.8880615234375
273,23,239,0.8880615234375
323,23,243,0.8880615234375
373,23,159,0.8880615234375
423,23,187,0.8880615234375
473,23,143,0.8880615234375
11,24,242,0.7049560546875
61,24,164,0.6988525390625
111,24,30,0.7049560546875
161,24,112,0.6988525390625
211,24,106,0.7049560546875
261,24,220,0.6988525390625
311,24,198,0.7049560546875
361,24,88,0.6988525390625
411,24,2,0.7049560546875
461,24,244,0.6988525390625
511,24,238,0.7049560546875
49,25,103,0.8880615234375
99,25,199,0.8880615234375
149,25,127,0.8880615234375
199,25,143,0.8880615234375
249,25,135,0.8880615234375
299,25,7,0.8880615234375
349,25,15,0.8880615234375
399,25,159,0.8880615234375
449,25,167,0.8880615234375
499,25,71,0.8880615234375
37,26,124,0.6988525390625
87,26,198,0.7049560546875
137,26,16,0.6988525390625
187,26,226,0.7049560546875
237,26,68,0.6988525390625
287,26,238,0.7049560546875
337,26,152,0.6988525390625
387,26,10,0.7049560546875
437,26,12,0.6988525390625
487,26,118,0.7049560546875
25,27,7,0.8880615234375
75,27,235,0.8880615234375
125,27,247,0.8880615234375
175,27,19,0.8880615234375
225,27,55,0.8880615234375
275,27,107,0.8880615234375
325,27,39,0.8880615234375
375,27,67,0.8880615234375
425,27,39,0.8880615234375
475,27,139,0.8880615234375
13,28,212,0.6988525390625
63,28,102,0.7049560546875
113,28,136,0.6988525390625
163,28,234,0.7049560546875
213,28,220,0.6988525390625
263,28,174,0.7049560546875
313,28,32,0.6988525390625
363,28,98,0.7049560546875
413,28,100,0.6988525390625
463,28,182,0.7049560546875
1,29,191,0.8880615234375
51,29,151,0.8880615234375
101,29,247,0.8880615234375
151,29,31,0.8880615234375
201,29,143,0.8880615234375
251,29,183,0.8880615234375
301,29,55,0.8880615234375
351,29,175,0.8880615234375
401,29,31,0.8880615234375
451,29,247,0.8880615234375
501,29,23,0.8880615234375
39,30,110,0.7049560546875
89,30,200,0.6988525390625
139,30,114,0.7049560546875
189,30,164,0.6988525390625
239,30,166,0.7049560546875
289,30,96,0.6988525390625
339,30,234,0.7049560546875
389,30,252,0.6988525390625
