keyIdx,x0_1,y0_1,x0_2,y0_2,a,b
1,0.10513332250534713,0.6524453100125281,0.5577611157109055,0.42541401636069176,7,5
2,0.009565059793676611,0.36917464317976767,0.5444226797004211,0.8250807105671039,7,5
3,0.4772982973340877,0.1197982361309885,0.3189936567482681,0.5141286828023806,7,5
4,0.09920547258713253,0.9642440085570078,0.8425700797533104,0.6200522957946788,7,5
5,0.565595730613204,0.6381738751136481,0.6475443696255201,0.7457393776881541,7,5
6,0.19975592814681442,0.04893571457232371,0.7487043605788752,0.9658994526538234,7,5
7,0.9520705562632568,0.23994979450387854,0.4402437833926228,0.8293043433391889,7,5
8,0.5451842347683594,0.07703484518054915,0.2795423644235372,0.9158780456401938,7,5
9,0.6643371794215457,0.5990021403788643,0.9800852990818958,0.4079579966357395,7,5
10,0.28800792735930814,0.06145253048361321,0.7703618764721791,0.7285076435603962,7,5
