image,run_index,encrypt_ms,decrypt_ms
Airplane,0,257.889,271.600
Airplane,1,295.232,273.449
Airplane,2,268.163,255.994
Airplane,3,248.849,269.584
Airplane,4,255.862,280.827
Airplane,5,256.047,269.986
Airplane,6,259.458,287.835
Airplane,7,262.543,264.882
Airplane,8,250.402,262.316
Airplane,9,270.012,268.460
Airplane,10,294.485,257.427
Airplane,11,269.307,285.539
Airplane,12,321.269,270.691
Airplane,13,258.645,250.799
Airplane,14,246.865,247.459
Airplane,15,251.797,250.203
Airplane,16,247.228,255.307
Airplane,17,247.033,246.072
Airplane,18,253.844,245.110
Airplane,19,243.738,254.455
Baboon,0,271.892,256.357
Baboon,1,410.192,284.271
Baboon,2,259.503,270.943
Baboon,3,255.404,254.265
Baboon,4,254.413,259.709
Baboon,5,267.291,250.887
Baboon,6,244.830,255.616
Baboon,7,248.300,247.233
Baboon,8,277.749,242.257
Baboon,9,256.092,262.659
Baboon,10,270.358,263.687
Baboon,11,288.542,254.211
Baboon,12,256.845,263.639
Baboon,13,253.501,252.171
Baboon,14,270.796,250.908
Baboon,15,252.097,251.312
Baboon,16,275.212,249.610
Baboon,17,247.099,273.463
Baboon,18,242.737,250.908
Baboon,19,255.583,244.972
Barbara,0,264.233,262.778
Barbara,1,254.619,251.142
Barbara,2,246.013,251.063
Barbara,3,270.059,253.090
Barbara,4,258.403,257.063
Barbara,5,252.969,254.967
Barbara,6,285.905,268.499
Barbara,7,307.153,277.695
Barbara,8,251.729,249.796
Barbara,9,239.761,258.153
Barbara,10,271.323,252.094
Barbara,11,259.165,254.768
Barbara,12,244.927,270.288
Barbara,13,260.748,259.592
Barbara,14,268.838,267.932
Barbara,15,273.895,276.753
Barbara,16,259.005,262.111
Barbara,17,261.566,281.438
Barbara,18,261.859,257.302
Barbara,19,269.279,254.386
Boats,0,240.567,245.271
Boats,1,255.838,249.594
Boats,2,251.520,255.126
Boats,3,246.330,249.547
Boats,4,267.472,252.928
Boats,5,249.360,251.423
Boats,6,269.179,240.223
Boats,7,249.422,241.213
Boats,8,250.878,249.611
Boats,9,270.934,257.829
Boats,10,252.196,282.592
Boats,11,273.450,253.535
Boats,12,249.994,271.555
Boats,13,255.725,244.441
Boats,14,248.803,242.083
Boats,15,263.157,244.631
Boats,16,247.401,250.754
Boats,17,254.140,243.154
Boats,18,243.664,238.837
Boats,19,273.030,254.294
House,0,258.386,247.896
House,1,240.850,240.719
House,2,259.203,252.278
House,3,258.509,260.046
House,4,267.123,251.494
House,5,255.330,255.102
House,6,250.495,250.907
House,7,252.194,250.285
House,8,244.644,261.774
House,9,251.341,245.923
House,10,246.242,246.552
House,11,268.227,246.846
House,12,240.679,245.889
House,13,257.295,261.569
House,14,255.332,253.198
House,15,262.658,245.444
House,16,244.273,297.251
House,17,249.995,265.072
House,18,299.331,249.179
House,19,249.972,268.025
Lena,0,277.917,273.939
Lena,1,259.660,255.457
Lena,2,298.987,244.835
Lena,3,243.877,243.410
Lena,4,250.576,252.065
Lena,5,260.195,262.316
Lena,6,283.063,251.039
Lena,7,250.195,254.235
Lena,8,258.168,257.932
Lena,9,255.655,270.422
Lena,10,269.961,244.954
Lena,11,255.801,256.883
Lena,12,276.496,251.690
Lena,13,271.019,268.751
Lena,14,308.897,257.757
Lena,15,250.946,257.362
Lena,16,265.322,263.304
Lena,17,250.449,243.698
Lena,18,265.733,260.818
Lena,19,246.847,243.548
Monarch,0,261.681,255.086
Monarch,1,234.643,247.389
Monarch,2,274.274,254.541
Monarch,3,257.789,243.875
Monarch,4,254.261,243.383
Monarch,5,251.966,247.334
Monarch,6,273.102,260.547
Monarch,7,251.667,241.129
Monarch,8,275.292,245.022
Monarch,9,246.948,268.578
Monarch,10,249.592,254.892
Monarch,11,243.185,240.992
Monarch,12,268.558,252.286
Monarch,13,253.408,255.765
Monarch,14,260.377,240.457
Monarch,15,250.388,254.177
