image,encrypt_ms_mean,encrypt_ms_std,decrypt_ms_mean,decrypt_ms_std,keyseed_ms_mean,cipherstage_enc_ms_mean,roundtrip_ok,mismatched_bytes,warmup_runs,measured_runs
Airplane,1947.606,66.335,511.553,24.706,1435.097,512.508,true,0,5,20
Baboon,1961.713,59.388,526.545,25.793,1432.786,528.927,true,0,5,20
Barbara,1957.459,48.393,529.469,26.508,1430.391,527.068,true,0,5,20
Boats,1938.611,36.266,514.820,15.467,1417.898,520.713,true,0,5,20
House,1935.786,37.910,512.503,13.371,1424.221,511.565,true,0,5,20
Lena,1954.739,36.982,531.994,16.410,1424.212,530.527,true,0,5,20
Monarch,1936.426,50.605,509.804,16.613,1426.554,509.873,true,0,5,20
Pepper,1934.389,45.699,517.191,13.388,1412.912,521.477,true,0,5,20
Sailboat,1920.854,38.163,499.865,11.803,1415.399,505.455,true,0,5,20
Tiffany,1947.645,48.808,532.998,17.579,1419.916,527.729,true,0,5,20
