image,run_index,encrypt_ms,decrypt_ms,keyseed_ms,cipherstage_enc_ms
Airplane,0,1964.114,576.286,1376.387,587.727
Airplane,1,2177.387,514.050,1679.635,497.752
Airplane,2,1933.655,541.981,1411.494,522.161
Airplane,3,2051.243,510.326,1535.204,516.039
Airplane,4,1925.636,493.073,1437.423,488.213
Airplane,5,1972.674,556.658,1456.401,516.272
Airplane,6,1909.581,502.724,1404.156,505.425
Airplane,7,1888.002,491.160,1389.448,498.555
Airplane,8,1911.989,492.264,1402.919,509.071
Airplane,9,1884.934,488.168,1389.832,495.103
Airplane,10,1932.708,504.911,1436.641,496.067
Airplane,11,1970.171,491.252,1466.326,503.845
Airplane,12,1893.937,497.584,1385.964,507.972
Airplane,13,1962.230,498.519,1443.047,519.183
Airplane,14,1887.432,475.859,1409.037,478.395
Airplane,15,1965.173,530.514,1422.918,542.255
Airplane,16,1925.484,519.339,1415.617,509.867
Airplane,17,1889.444,530.668,1358.614,530.830
Airplane,18,1975.582,493.956,1437.795,537.787
Airplane,19,1930.739,521.777,1443.089,487.651
Baboon,0,1913.800,502.027,1398.428,515.372
Baboon,1,2121.353,527.266,1600.845,520.508
Baboon,2,1975.533,606.171,1406.221,569.312
Baboon,3,1942.823,506.344,1425.318,517.505
Baboon,4,1953.429,495.882,1452.832,500.597
Baboon,5,1915.580,511.642,1394.563,521.017
Baboon,6,1917.473,508.695,1407.118,510.355
Baboon,7,1912.233,509.846,1382.709,529.525
Baboon,8,1949.071,524.417,1435.462,513.608
Baboon,9,1953.476,520.762,1415.508,537.968
Baboon,10,1898.152,542.335,1398.752,499.400
Baboon,11,1997.719,556.069,1449.100,548.618
Baboon,12,1996.471,562.897,1418.608,577.863
Baboon,13,2015.482,544.170,1440.053,575.429
Baboon,14,2092.358,540.487,1564.639,527.718
Baboon,15,1888.705,495.534,1385.999,502.707
Baboon,16,1970.156,515.949,1435.196,534.960
Baboon,17,1972.710,522.540,1404.404,568.306
Baboon,18,1939.516,520.446,1428.639,510.877
Baboon,19,1908.221,517.421,1411.328,496.893
Barbara,0,2015.613,509.791,1474.462,541.152
Barbara,1,1928.625,518.980,1392.059,536.566
Barbara,2,1947.881,515.267,1418.491,529.390
Barbara,3,1929.052,519.378,1417.895,511.157
Barbara,4,1901.210,489.123,1404.687,496.524
Barbara,5,1935.549,529.602,1428.784,506.765
Barbara,6,1957.049,517.878,1431.965,525.083
Barbara,7,1899.572,536.154,1377.403,522.169
Barbara,8,1969.191,539.430,1434.933,534.259
Barbara,9,1950.310,516.995,1414.972,535.338
Barbara,10,1946.416,538.354,1439.541,506.876
Barbara,11,1927.751,550.489,1414.253,513.498
