image,run_index,encrypt_ms,decrypt_ms
Airplane,0,3821.206,3932.483
Airplane,1,3849.654,3884.427
Airplane,2,3944.872,3874.674
Airplane,3,3828.337,3847.831
Airplane,4,3793.782,3840.142
Airplane,5,3787.252,3829.237
Airplane,6,3784.932,3832.619
Airplane,7,3845.276,3875.131
Airplane,8,3819.206,3890.369
Airplane,9,3814.608,3901.817
Airplane,10,3813.453,3854.966
Airplane,11,3813.716,3857.070
Airplane,12,3784.624,3846.108
Airplane,13,3780.658,3843.230
Airplane,14,3778.277,3831.119
Airplane,15,3815.599,3860.509
Airplane,16,3842.711,3842.919
Airplane,17,3826.145,3841.614
Airplane,18,3805.585,3852.940
Airplane,19,3787.176,3832.788
Baboon,0,3825.726,3959.661
Baboon,1,4143.484,4063.534
Baboon,2,3928.939,4002.603
Baboon,3,3944.004,4125.610
Baboon,4,3991.753,4031.256
Baboon,5,3965.890,4011.426
Baboon,6,3951.196,3957.841
Baboon,7,3901.566,3958.879
Baboon,8,3907.147,3973.616
Baboon,9,3899.865,4195.461
Baboon,10,4004.946,3959.010
Baboon,11,3923.159,3972.524
Baboon,12,3940.966,3966.761
Baboon,13,3911.330,3981.662
Baboon,14,3929.692,3972.683
Baboon,15,3950.589,4020.393
Baboon,16,3911.307,3966.159
Baboon,17,3977.458,3993.459
Baboon,18,3913.603,4022.837
Baboon,19,3911.795,3957.969
Barbara,0,3879.416,3967.925
Barbara,1,3926.103,3956.111
Barbara,2,3909.296,3934.335
Barbara,3,3954.199,3999.044
Barbara,4,4000.687,3957.132
Barbara,5,3938.830,3971.875
Barbara,6,3931.419,3974.921
Barbara,7,3921.854,4008.003
Barbara,8,3898.824,3950.633
Barbara,9,3895.362,3932.050
Barbara,10,3882.051,3976.382
Barbara,11,3912.085,3993.856
Barbara,12,3910.338,3972.465
Barbara,13,3892.627,3964.849
Barbara,14,3899.701,3995.769
Barbara,15,3921.993,3972.531
Barbara,16,3898.027,3958.942
Barbara,17,3889.826,3983.494
Barbara,18,3982.966,3990.170
Barbara,19,3890.689,3950.069
Boats,0,3903.740,3963.469
Boats,1,3904.285,3944.264
Boats,2,3882.722,3918.435
Boats,3,3878.544,3916.678
Boats,4,3899.601,3992.802
Boats,5,3874.860,3904.515
Boats,6,3859.951,3930.238
Boats,7,3862.629,3925.869
Boats,8,3921.564,4019.593
Boats,9,3940.095,4037.329
Boats,10,3926.275,3978.461
Boats,11,3909.555,3970.077
Boats,12,3938.564,3952.327
Boats,13,3907.284,3978.988
Boats,14,3909.949,3984.956
Boats,15,3924.898,3994.955
Boats,16,3913.303,3981.376
Boats,17,3956.492,3942.294
Boats,18,3885.028,4004.711
Boats,19,3880.336,3962.598
House,0,3896.788,3989.815
House,1,3904.390,3939.781
House,2,3915.344,3958.973
House,3,3914.347,3968.760
House,4,3961.559,4017.458
House,5,3916.679,3997.938
House,6,3932.434,4033.606
House,7,3875.308,3954.681
House,8,3909.663,3933.682
House,9,3961.811,4000.231
House,10,3911.601,4045.063
House,11,4000.739,3935.547
House,12,3905.703,3940.800
House,13,3905.642,3923.004
House,14,3882.322,3957.266
House,15,3950.181,3956.013
House,16,3889.564,3952.490
House,17,3894.829,3951.470
House,18,4003.277,3995.578
House,19,3968.397,4014.960
Lena,0,3929.390,3986.805
Lena,1,3919.555,3955.844
Lena,2,3931.615,4041.287
Lena,3,3948.794,3954.044
Lena,4,3895.429,3954.999
Lena,5,3933.283,4030.526
Lena,6,3988.781,3971.669
Lena,7,3942.400,3978.317
Lena,8,3929.549,3989.488
Lena,9,3964.546,3936.460
Lena,10,3878.170,3941.491
Lena,11,3874.179,3953.041
Lena,12,3914.209,3969.932
Lena,13,3925.514,3974.313
Lena,14,3924.034,3994.080
Lena,15,3901.682,4026.827
Lena,16,4107.134,4127.095
Lena,17,4070.342,4010.019
Lena,18,3970.155,3923.569
Lena,19,3876.358,3953.236
Monarch,0,4000.361,3998.479
Monarch,1,3852.703,4088.330
Monarch,2,4084.967,3902.694
Monarch,3,3847.474,3918.273
Monarch,4,3896.014,3906.474
Monarch,5,3864.171,3902.863
Monarch,6,3865.900,3916.990
Monarch,7,3864.373,3915.232
Monarch,8,3865.830,3899.886
Monarch,9,3867.731,3920.649
Monarch,10,3869.815,3915.614
Monarch,11,3938.159,3952.702
Monarch,12,3861.222,3971.529
Monarch,13,3918.525,3967.489
Monarch,14,3913.520,3981.589
Monarch,15,3934.775,4044.682
Monarch,16,3921.269,3981.162
Monarch,17,3922.784,3974.000
Monarch,18,3906.953,3974.606
Monarch,19,3906.998,3945.438
Pepper,0,3929.369,3968.678
Pepper,1,3939.126,4031.921
Pepper,2,3917.988,3919.932
Pepper,3,3886.707,3932.688
Pepper,4,3880.133,3930.259
Pepper,5,3890.853,3919.973
Pepper,6,3881.134,3927.247
Pepper,7,3873.398,3934.399
Pepper,8,3886.687,3988.396
Pepper,9,3918.656,3962.223
Pepper,10,3895.735,3955.131
Pepper,11,3932.347,4154.752
Pepper,12,3920.127,4004.780
Pepper,13,3901.649,3974.537
Pepper,14,3906.122,3973.558
Pepper,15,3915.900,3980.317
Pepper,16,3946.368,4042.519
Pepper,17,3994.873,3984.473
Pepper,18,3966.636,3981.017
Pepper,19,3937.816,3999.743
Sailboat,0,3946.034,3969.652
Sailboat,1,3893.735,3938.061
Sailboat,2,3915.464,3980.504
Sailboat,3,3925.064,3984.426
Sailboat,4,3914.037,3959.265
Sailboat,5,3951.280,4003.653
Sailboat,6,3961.879,3960.001
Sailboat,7,3918.003,3958.143
Sailboat,8,3891.032,3942.903
Sailboat,9,3952.810,4043.510
Sailboat,10,3988.525,4050.791
Sailboat,11,3932.909,3963.341
Sailboat,12,3928.507,3996.094
Sailboat,13,3944.610,4058.930
Sailboat,14,3902.457,3941.585
Sailboat,15,3884.160,3974.691
Sailboat,16,3994.306,4046.489
Sailboat,17,3930.628,3977.939
Sailboat,18,3919.177,3967.200
Sailboat,19,3930.697,3994.846
Tiffany,0,3908.545,3893.958
Tiffany,1,3844.620,3894.482
Tiffany,2,3854.208,3890.394
Tiffany,3,3888.348,3936.244
Tiffany,4,3877.163,3920.530
Tiffany,5,3896.508,3929.756
Tiffany,6,3865.848,3941.713
Tiffany,7,3889.951,3950.288
Tiffany,8,3862.033,3925.681
Tiffany,9,3867.776,3902.212
Tiffany,10,3986.022,3964.150
Tiffany,11,3903.225,3906.305
Tiffany,12,3854.175,3913.116
Tiffany,13,3891.233,3958.955
Tiffany,14,3875.421,3931.954
Tiffany,15,3942.204,3998.280
Tiffany,16,3908.423,3926.807
Tiffany,17,3908.189,3937.206
Tiffany,18,3896.486,4005.369
Tiffany,19,3957.166,3964.725
